"accessno","subject"
"0000007429","none"
"0000007430","none"
"0000007437","none"
"0000007431","none"
"0000007438","none"
"0000007432","none"
"0000007433","none"
"0000007434","none"
"0000007435","none"
"0000007436","none"
"0000007439","Natural Science"
"0000007440","Natural Science"
"0000007441","Matter"
"0000007441","Life Science"
"0000007441","Natural History"
"0000007442","Grammar- Review and exercises."
"0000007443","Grammar- Review and excercises"
"0000007444","Grammar"
"0000007445","Grammar"
"0000007447","none"
"0000007449","Poems"
"0000007449","Speeches"
"0000007449","Declamations"
"0000007450","Astronomy"
"0000007455","formats"
"0000007456","Computer graphics"
"0000007456","Business presentations"
"0000007456","Data processing"
"0000007457","Tales-Philippines"
"0000007457","Folk literature-Philippines"
"0000007458","C( Computer program language"
"0000007459","Series"
"0000007462","China,1949-1982"
"0000007464","Grammar"
"0000007465","Managerial accounting"
"0000007466","English-language- Usage"
"0000007467","English language- Usage"
"0000007468","Grammar-Review and exercises"
"0000007469","English language-Usage"
"0000007470","Language arts"
"0000007471","none"
"0000007472","none"
"0000007473","Home Economics"
"0000007473","Dwellings- Maintenance and repair"
"0000007474","Grammar"
"0000007474","Applied linguistics"
"0000007475","Life- Serial publication"
"0000007476","Ability"
"0000007476","Academic achievement"
"0000007476","Leadership"
"0000007476","Life skills"
"0000007476","Self-realization"
"0000007477","Teachers-United States-Case Studies"
"0000007477","Teacher effectiveness-United States-Case Studies"
"0000007477","Students-United States-Quotations"
"0000007478","Single Parent Family"
"0000007479","Earth Science"
"0000007480","Life Series"
"0000007481","Leadership"
"0000007481","Employee empowerment"
"0000007482","Leadership"
"0000007482","Employee empowerment"
"0000007482","United States Marine Corps-Management"
"0000007483","Teaching methods"
"0000007484","none"
"0000007485","none"
"0000007486","Wizard fiction"
"0000007486","Magic-Fiction"
"0000007486","Schools-Fiction"
"0000007486","England-Fiction"
"0000007487","none"
"0000007488","none"
"0000007489","none"
"0000007490","Pysics"
"0000007491","Educ'l leadership-United States"
"0000007491","te"
"0000007491","Educ'l leadership-United States"
"0000007491","  Physics"
"0000007492","Biology"
"0000007493","Biology"
"0000007494","Heroes Phil.-Childhood Storie-Juvenile lit."
"0000007494","Jacinto, Emilio-Juvenile literature"
"0000007494","Mabini, Apolinario-Juvenile literature"
"0000007494","Rizal, Jose-Juvenile literature"
"0000007494","Silang, Diego-Juvenile literature"
"0000007494","Silang, Gabriela-Juvenile literature"
"0000007496","Programing languages (Electronic computers)"
"0000007499","C++ (Computer program language)"
"0000007498","Heroes Phil.-Children Stories-Juvenile lit."
"0000007499","Data Structures (Computer science)"
"0000007498","Jacinto, Emilio-Juvenile lit."
"0000007498","Mabini, Apolinario-Juvenile lit."
"0000007498","Rizal, Jose-Juvenile lit."
"0000007498","Silang Diego-Juvenile lit."
"0000007498","Silang Gabriela-Juvenile lit."
"0000007501","Training of specific classes of employees"
"0000007502","Organizational change"
"0000007500","Measures of central tendency"
"0000007503","Imelda Marcos- Biography"
"0000007504","Imelda Marcos-biography"
"0000007505","Parenting"
"0000007506","Philippine language-Grammar"
"0000007507","Bible-New Testament"
"0000007509","Language arts"
"0000007508","Reading Comprehension"
"0000007510","Rizal, Jose P.-Biography"
"0000007511","none"
"0000007512","none"
"0000007513","English language"
"0000007514","English language-Grammar"
"0000007515","Reading Comprehension"
"0000007516","Reading Comprehension"
"0000007517","none"
"0000007518","Language arts"
"0000007519","Language arts"
"0000007520","Reading Comprehension"
"0000007521","Reading Comprehension"
"0000007522","Literature-Collections"
"0000007523","none"
"0000007524","none"
"0000007525","none"
"0000007526","none"
"0000007527","none"
"0000007528","none"
"0000007529","none"
"0000007530","none"
"0000007531","none"
"0000007532","none"
"0000007533","none"
"0000007534","none"
"0000007535","none"
"0000007536","Conduct of life"
"0000007537","New business enterprises-Management"
"0000007538","none"
"0000007539","Team teaching"
"0000007540","Creative ability in business"
"0000007541","Sociology-Methodology"
"0000007542","Educational Resaearch"
"0000007543","Research methods"
"0000007544","Ecology"
"0000007545","Anatomy"
"0000007546","Philippine Atlas"
"0000007547","Inventors and inventions- Dictionary"
"0000007548","Prehistoric Life-Dictionary"
"0000007549","Oceanography"
"0000007550","Musical instrument"
"0000007551","History-Philippines"
"0000007552","Arts"
"0000007553","Stage production"
"0000007555","Philippines-History-Biography"
"0000007554","English poetry-Middle english"
"0000007556","Sermons"
"0000007556","Catholic Church-Sermons"
"0000007556","Spiritual life"
"0000007557","English poetry-20th century-History and criticism"
"0000007558","English poetry- Early modern, 1500-1700"
"0000007558","Emblem book, English-Bibliography"
"0000007558","Emblems-England-History"
"0000007558","Renaisance-England"
"0000007559","none"
"0000007560","Psychoanalysis and literature"
"0000007560","Criticism"
"0000007561","English language- Rhetoric-Handbooks,etc."
"0000007561","English language-Grammar-1950"
"0000007562","Earth Sciences"
"0000007563","Costume-History"
"0000007564","Child development"
"0000007564","Psychology"
"0000007565","Children's literature"
"0000007566","Biology"
"0000007567","Programming menu"
"0000007568","Thesauri (Information science)"
"0000007569","Scientists"
"0000007570","Machines-Dictionary"
"0000007571","Language (Terminology) and Communication"
"0000007572","Learning Psychology"
"0000007572","Motivation in Psychology"
"0000007572","Motivation (Psychology) in children"
"0000007572","Cognitive"
"0000007573","Cooking"
"0000007574","Historical- special events"
"0000007575","Biographies-Men"
"0000007576","Biograpies-Women"
"0000007577","Cities- historical and geographical"
"0000007578","World records- Natural wonders"
"0000007579","Inventions"
"0000007580","Heroes- Biographies"
"0000007581","Handicrafts"
"0000007582","Computer Science"
"0000007583","Encyclopedias and dictionaries"
"0000007583","Curiosities and wonders"
"0000007584","World History--1000-1100"
"0000007584","China--History"
"0000007584","Empires, Turkish"
"0000007584","Normans"
"0000007584","Russia--History"
"0000007584","India--History"
"0000007585","Meditations"
"0000007585","Devotional calendars"
"0000007586","Biology"
"0000007587","Personnel management"
"0000007587","Marketing management"
"0000007588","Jesus Christ-Nativity"
"0000007588","Jesus Christ-Crucifixion"
"0000007588","Jesus Christ-Biography"
"0000007589","God-Christianity"
"0000007589","Providence and Government of God"
"0000007590","Science-Study and Teaching"
"0000007591","Science and technology"
"0000007591","Biology"
"0000007592","Chemistry"
"0000007593","God-Short Stories Collection"
"0000007594","Physical science"
"0000007595","None"
"0000007596","Chemistry, Physical and theoretical"
"0000007597","Mathematics (Elementary)"
"0000007598","Trigonometry"
"0000007599","Chemistry"
"0000007600","Early childhood education - United States"
"0000007601","Modern Geomety"
"0000007602","Religious ethics"
"0000007602","Social ethics"
"0000007603","Bible-Catechism"
"0000007603","Christian education"
"0000007607","Computer Operating Systems"
"0000007608","Programming languages (Electronic Computers)"
"0000007609","Information Storage & Retrieval Systems"
"0000007611","Computer Organization"
"0000007611","Computer Architecture"
"0000007612","Programming   languages (Computers)"
"0000007613","Programming languages (Electronic Computers)"
"0000007614","Programming languages (Electronic Computers)"
"0000007616","Language arts"
"0000007617","c++ (Computer program language)"
"0000007618","Language and languages-Study and teaching"
"0000007619","Language arts"
"0000007620","Reading Comprehension"
"0000007621","English language"
"0000007626","English language-Usage"
"0000007627","Language arts"
"0000007628","Language arts"
"0000007629","Language arts"
"0000007630","English languge-Grammar"
"0000007633","Computer graphics"
"0000007634","Internet (Computer network)"
"0000007636","English language-Grammar"
"0000007637","Language arts"
"0000007638","English language-grammar"
"0000007639","English language-Composition and exercises"
"0000007640","Reading comprehension"
"0000007641","Language arts"
"0000007642","Geometry"
"0000007643","Imelda R. Marcos"
"0000007644","Mathematics-Dictionaries"
"0000007645","Reading-study and teaching (early childhood)"
"0000007645","Writing-study and teaching (early childhood)"
"0000007646","Mathematics-study and teaching (early childhood)"
"0000007646","Early childhood education-parent participation"
"0000007646","Early chidhood education-activity programs"
"0000007648","Science- study and teaching (early childhood)"
"0000007648","Early childhood education- activity programs"
"0000007649","Child development"
"0000007649","Interpersonal relations-study and teaching"
"0000007649","Early childhood education-parent participation"
"0000007649","Early childhood education-activity programs"
"0000007650","Algebra"
"0000007651","Bible-History of Biblical Events"
"0000007652","Industrial Management-United States"
"0000007653","Creeds"
"0000007653","Confessions of faith"
"0000007653","Covenants"
"0000007653","Catechism"
"0000007654","Catecheses"
"0000007654","Reflections"
"0000007654","Baptism-Rites of the Catholic Church"
"0000007655","Classroom management"
"0000007655","Teaching and Learning Primary Classroom"
"0000007656","Teaching, methods and study"
"0000007657","Curriculum planning-United States"
"0000007657","Curriculum-based assessment-United States"
"0000007657","Learning"
"0000007657","Comprehension"
"0000007658","Word processing software"
"0000007659","System programming (computer science)"
"0000007659","Microsoft windows"
"0000007660","Theatre"
"0000007661","Organizational effectiveness"
"0000007662","Francis of Assisi- Spirituality"
"0000007663","Mother Teresa - Heroes of Faith and Courage"
"0000007664","Learning , psychology"
"0000007664","Teaching- psychological aspects"
"0000007666","Teaching-Methods of instruction and study"
"0000007667","C++ (Computer program language)"
"0000007668","Pascal (Computer program language)"
"0000007668","Turbo Pascal (Computer File)"
"0000007675","Music-Study and teaching"
"0000007675","Music meter and rhythm"
"0000007676","Bible- Commentaries"
"0000007677","Spiritual healing"
"0000007678","Child development"
"0000007688","Childrens literature"
"0000007689","Educational Psychology"
"0000007690","Bible- Use"
"0000007691","Programming languages (Computers)"
"0000007694","Information Theory"
"0000007695","Programming Computers"
"0000007694","Web site construction"
"0000007696","General Works on specific types of computer"
"0000007697","Peninsular War-Juvenile literature"
"0000007698","Peninsular War-Juvenile literature"
"0000007699","The beach of Falesa"
"0000007702","English language- Adverb"
"0000007702","English language- Modality"
"0000007705","Trigonometry"
"0000007706","Word study- elementary education"
"0000007707","Love"
"0000007707","Sexual Ethics"
"0000007707","Marriage"
"0000007709","Programming-language translators"
"0000007709","Computerized Accounting"
"0000007710","Philosophy Medieval"
"0000007711","Spiritual life"
"0000007713","None"
"0000007714","Bible- Study and teaching"
"0000007715","Curriculum- Secondary education"
"0000007717","Family recreation"
"0000007717","Self-esteem in children"
"0000007718","Art- Study and Teaching (Elementary)"
"0000007718","Art-Stady and Teaching (Secondary)"
"0000007719","Methods of instruction and study"
"0000007719","Lesson and activity plans"
"0000007720","Creative activities"
"0000007721","Science- Study and teaching (elementary)"
"0000007722","Early childhood education-United States-Curriculum"
"0000007722","Curriculum planning-United States"
"0000007722","Interdisciplinary approach in education"
"0000007722","Early childhood education-Activity programs"
"0000007723","Geometry"
"0000007724","Other ethical Norms"
"0000007733","History"
"0000007734","History"
"0000007735","History"
"0000007736","Social sciences"
"0000007737","Social sciences"
"0000007738","Geography"
"0000007738","History"
"0000007739","Social sciences"
"0000007740","Philippine-History"
"0000007741","Philippines-History"
"0000007742","Philippines-History"
"0000007743","Philippine-History"
"0000007744","Philippines-History"
"0000007745","Philippines-History"
"0000007746","Philippine-History"
"0000007747","History- Philippines"
"0000007748","History"
"0000007749","History"
"0000007750","History"
"0000007750","Geography"
"0000007751","History"
"0000007751","Geography"
"0000007752","History"
"0000007752","Geography"
"0000007753","History"
"0000007753","Culture"
"0000007754","History"
"0000007754","Culture"
"0000007755","Geography"
"0000007755","History"
"0000007756","Social sciences"
"0000007757","Social science"
"0000007758","Social sciences"
"0000007759","Social sciences"
"0000007760","Social sciences"
"0000007761","Social sciences"
"0000007762","History"
"0000007763","Social science"
"0000007764","Social sciences"
"0000007765","Social sciences"
"0000007766","Social sciences"
"0000007767","Social sciences"
"0000007768","History"
"0000007769","Social sciences"
"0000007770","Social sciences"
"0000007771","Social sciences"
"0000007772","Social sciences"
"0000007773","Social sciences"
"0000007774","History"
"0000007775","Social sciences"
"0000007776","Social sciences"
"0000007777","Social sciences"
"0000007777","History"
"0000007778","Social sciences"
"0000007779","Social sciences"
"0000007780","Social sciences"
"0000007781","Geography"
"0000007781","History"
"0000007782","Reading comprehension"
"0000007783","Reading"
"0000007784","Reading"
"0000007785","Reading comprehension"
"0000007786","Reading comprehension"
"0000007787","Reding comprehension"
"0000007788","Reading"
"0000007789","Reading comprehension"
"0000007790","Reading"
"0000007791","Reading"
"0000007792","Language arts"
"0000007793","Language arts"
"0000007794","Language arts"
"0000007795","Language arts"
"0000007796","Language arts"
"0000007797","Language arts"
"0000007798","Reading"
"0000007799","Reading"
"0000007800","Reading comprehension"
"0000007801","Reading comprehension"
"0000007802","Reading"
"0000007803","Reading"
"0000007804","Reading"
"0000007805","Reading"
"0000007806","Reading comprehension"
"0000007807","Reading comprehension"
"0000007809","Germany (West)-Foreign relations"
"0000007810","Trigonometry-Data processing"
"0000007810","Calculating Machines"
"0000007811","Algebrain Operations"
"0000007811","Mathematic-investment"
"0000007812","Bible NT Epistles of Paul-Commentaries"
"0000007812","Bible NT Selections"
"0000007814","Reading"
"0000007815","Reading"
"0000007816","Reading"
"0000007817","Reading comprehension"
"0000007818","Reading"
"0000007819","Reading"
"0000007821","Reading"
"0000007822","Reading comprehension"
"0000007823","Reading comprehension"
"0000007824","Reading comprehension"
"0000007825","Reading comprehension"
"0000007826","Reading comprehension"
"0000004501","Fiction"
"0000007827"," Fictio"
"0000007828","Nonfiction-Reporting Live"
"0000007829","None"
"0000007830","Wisdom ( gift of the holy spirit)"
"0000007831","Saint Francis of Assisi"
"0000007833","Noli Me Tangere"
"0000007832","Buckminsterfullerene"
"0000007834","Language and literature-study and teaching."
"0000007834","Language and literature-study and teaching"
"0000007835","History-Philippines"
"0000007836","Life (Biology)"
"0000007836","Life Sciences"
"0000007837","Physics"
"0000007837","Earth Science"
"0000007838","Biology"
"0000007838","Life Sciences"
"0000007839","Numeration"
"0000007840","Physical and theoretical chemistry"
"0000007841","Love poetry"
"0000007842","Epic poetry"
"0000007842","Romance"
"0000007843","Health Education"
"0000007843","Physical Fitness"
"0000007843","Asian Folk Dances"
"0000007843","Games and Sports"
"0000007843","Music"
"0000007844","Physical Fitness"
"0000007844","Body building"
"0000007845","Rhetoric of fiction"
"0000007845","Novels"
"0000007846","Rhetoric of fiction"
"0000007846","Filipino Novels"
"0000007847","Physical fitnesss"
"0000007847","Bodybuilding"
"0000007848","English language-grammar"
"0000007848","English language-idioms"
"0000007849","English Fiction"
"0000007850","Literature,Grammar"
"0000007852","Modern Physics"
"0000007853","Chemistry"
"0000007854","Biology"
"0000007855","Science-Study and Teaching"
"0000007856","Biology"
"0000007857","Science, research in school"
"0000007857","Science-study and teaching"
"0000007858","Business technology"
"0000007858","Office management"
"0000007858","Marketings"
"0000007858","Entrepreneurship"
"0000007859","General science-Technology"
"0000007860","General science-Technology"
"0000007861","Environmental science"
"0000007862","English language-Grammar"
"0000007863","English language-Grammar"
"0000007864","English language-Grammar"
"0000007866","Chemistry"
"0000007866","Chemistry, Organic"
"0000007867","Physicl education"
"0000007867","Literature,Grammar"
"0000007868","Student Counselors"
"0000007868","Student Counselors"
"0000007868","Training of"
"0000007870","Home Management"
"0000007871","Algebra"
"0000007871","Fractions"
"0000007871","Geometry"
"0000007872","Numerals"
"0000007872","Numeration"
"0000007872","Geometry"
"0000007872","Algebra"
"0000007868"," Personnel service in education"
"0000007868","Interpersonal relations"
"0000007869","Physical Sciences"
"0000007869","Suchocks,John"
"0000007873","Logic, symbolic and mathematical"
"0000007873","Trigonometry"
"0000007873","Statistics"
"0000007879","Literature,Grammar"
"0000007880","Computer software"
"0000007881","Algebra"
"0000007881","Geometry"
"0000007881","Trigonometry"
"0000007881","Statistics"
"0000007882","Algebra"
"0000007882","Geometry"
"0000007882","Trigonometry"
"0000007882","Statistics"
"0000007883","Balance of trade"
"0000007883","Consumption (Economics)"
"0000007883","Free trade & production"
"0000007883","Public finance"
"0000007883","Economics policy"
"0000000000","Set theory"
"0000000000","Fractions"
"0000000000","Numeration"
"0000007887","Balance of trade"
"0000007887","Consumption (economics)"
"0000007887","Free trade and production"
"0000007887","Public finance"
"0000007887","Economics policy"
"0000007888","English language and literature-study and teaching"
"0000007889","English language and literature-study and teaching"
"0000007890","Physical education"
"0000007890","Health education"
"0000007890","Asian music and art"
"0000007891","History,Ancient"
"0000007891","History,Modern"
"0000007891","Middle Ages-history"
"0000007892","Computer literacy"
"0000007893","English language-Grammar"
"0000007894","Religion"
"0000007894","Faith"
"0000007895","Filipino-Bible-catechism"
"0000007895","Bible-Study"
"0000007895","Theology-study and teaching"
"0000007896","God-christianity"
"0000007896","Holy Spirit"
"0000007896","Jesus Christ"
"0000007898","Mathematics"
"0000007899","Mathematics-study and teaching"
"0000007900","Algebra"
"0000007900","Geometry"
"0000007900","Patterns (mathematics)"
"0000007903","Set Theory"
"0000007903","Trigometry"
"0000007904","Agebra"
"0000007904","Arithmetic"
"0000007904","Binary System ( Mathematics )"
"0000007905","Algebra"
"0000007905","Polynomials"
"0000007905","Numerals"
"0000007910","Time-Juvenile literature"
"0000007910","Time-Experiments"
"0000007910","Juvenile Literature"
"0000007911","Teaching-Techniques of Study"
"0000007912","Computer-assisted instruction"
"0000007912","Education-Data processing"
"0000007912","Interactive Video"
"0000007912","Artiicial Intelligence-Educational Applications"
"0000007916","Education-Research"
"0000000000","Geometry"
"0000000000","Algebra"
"0000007921","Set theory"
"0000007921","Fraction"
"0000007921","Numeration"
"0000007921","Geometry"
"0000007921","Algebra"
"0000007922","Mathematics"
"0000007922","Trigonometry"
"0000007923","English language  - usage"
"0000007924","Alamat."
"0000007925","Proverbs"
"0000007926","Scientist and Inventors"
"0000007927","Worth and theory of values ( Axiology)"
"0000007928","Worth and theory of values (Axiology)"
"0000007923","English literature"
"0000007930","Literature-Collection"
"0000007931","Economic conditions"
"0000007932","Athletics"
"0000007932","Outdoor sports and games"
"0000007933","Electronics components"
"0000007934","Business management"
"0000007934","Office secretarial mgt."
"0000007934","Typewriting"
"0000007934","Shorthand"
"0000007935","Home economics"
"0000007935","Agricultural technology"
"0000007935","Industerial arts"
"0000007935","Entrepreneurship"
"0000007936","Mechanical drawing"
"0000007937","Rhetoric of fiction"
"0000007937","Novelettes and novels"
"0000007938","English language-usage"
"0000007939","Filipino language-study and teaching"
"0000007939","Filipino literature"
"0000007940","Literature,Grammar"
"0000007941","Language and literature-study and teaching"
"0000007942","Filipino language-usage"
"0000007943","Literature-language and languages"
"0000007944","Literature-language and languages"
"0000007945","Botany projects"
"0000007946","Biological science"
"0000007947","Physical fitness"
"0000007947","Health education"
"0000007947","Music educ."
"0000007948","Grammar-language and languages"
"0000007949","Language and languages-study and teaching"
"0000007951","Physical fitness"
"0000007951","Health education"
"0000007951","Music education"
"0000007952","Physical fitness"
"0000007952","Health education"
"0000007952","Music Educ."
"0000007953","Physical fitness"
"0000007953","Health self-care"
"0000007953","Sports"
"0000007953","Games"
"0000007954","Physical fitness and gymnastics"
"0000007954","Health education"
"0000007954","Team sports"
"0000007955","Physical education"
"0000007955","Health education"
"0000007955","Music"
"0000007958","Education-Study & Teaching"
"0000007957","Women-United States"
"0000007957","Women's Rights"
"0000007957","United States"
"0000007960","Media (Mean of Communication"
"0000007963","Language and languages"
"0000007963","English grammar"
"0000007964","English language-composition and exercises"
"0000007965","Communication"
"0000007965","Philippine literature"
"0000007966","Communication"
"0000007967","Poets"
"0000007967","English Fiction"
"0000007968","English language-grammar"
"0000007968","Reading"
"0000007968","Literature"
"0000007969","Rhetoric of fiction"
"0000007969","Novels"
"0000007970","Poetry-history and criticism"
"0000007971","World history"
"0000007972","History-historiography"
"0000007973","Philippine-civilization"
"0000007973","Philippine history"
"0000007974","Geography"
"0000007974","History,Ancient"
"0000007974","History,Modern"
"0000007975","Philippines history"
"0000007976","Asia-politics & government"
"0000007977","Shakespeare,William,1564-1616.taming of the shrew."
"0000007977","English literature-history and criticism"
"0000007982","(1.Austen,jANE,1775-1817.pride & prejudice"
"0000007982","English literature-history & criticism"
"0000007983","Socail Philosophy"
"0000007984","Steinbeck,John,1902-1968.Pearl"
"0000007984","American literature-history and criticism"
"0000007985","Shakespeare,William 1564-1616.Romeo and Juliet"
"0000007985","English literature-history and criticism"
"0000007986","s"
"0000007986","American literature-history and criticism"
"0000007987","Shakespeare,William 1564-1616.merchant of venice"
"0000007987","English literature-history and criticism"
"0000007988","Machiavelli,Niccolo,1469-1527.principe"
"0000007988","Political science-early works to 1700."
"0000007988","Political ethics"
"0000007989","Bronte,Emily 1818-1848wuthering hieght"
"0000007989","English literature-history and criticism"
"0000007990","Cervantes Saavedra,Miguel de,1547-1616.Don quixote"
"0000007990","Spanish literature-history and criticism"
"0000007991","Bronte's,charlotte,1816-1855.Jane eyne"
"0000007991","English literature-history and criticism"
"0000007992","Steinbeck,John.1902-1968 of mice & men"
"0000007992","American literature-history and criticism"
"0000007993","Shakespeare,William 1564-1616.hamlet"
"0000007993","English literature-history & criticism"
"0000007994","Fiction"
"0000007995","Fiction"
"0000007996","Fiction"
"0000007997","Financial statements"
"0000007999","Philippine-civilization"
"0000007999","Philippine-history"
"0000008000","Accounting- Data processing"
"0000008000","Management information systems"
"0000008001","History-Philippines"
"0000008002","Homework-handbooks,manuals,etc."
"0000008003","Management games"
"0000008006","Mass Medis"
"0000008006","Mass Media and culture"
"0000008007","Sacrament-roman catholic"
"0000008008","English language-terms & phrases-dictionaries."
"0000008008","English Fiction"
"0000008009","Fiction"
"0000008005","English language-study and teaching"
"0000008010","Time management-exercises"
"0000008006","Mass media"
"0000008006","Mass media and culture"
"0000008006","Media literacy"
"0000008012","Psychology, Industrial."
"0000008012","Management"
"0000008012","Transactional analysis"
"0000008010","Anaemic-popular works."
"0000008034","Marriage counseling"
"0000008034","Psychotherapy"
"0000008011","Children-diseases-popular works"
"0000008011","Children-diseases treament-popular works"
"0000008036","Abortion - Philippines"
"0000008013"," children-conduct of life"
"0000008014","Personnel management"
"0000008037","Constitution al reforms"
"0000008037","Nursery schools - United States - Administration"
"0000008038","Parenting-Philippines"
"0000008016","Quantity cookery"
"0000008017","Thought and thinking"
"0000008018","Fiction"
"0000008019","Fiction"
"0000008020","Fiction"
"0000008021","Fiction"
"0000008022","Quantity cookery"
"0000008023","Fiction"
"0000008024","Fiction"
"0000008025","Fiction"
"0000008026","Fiction"
"0000008015","Marketing management"
"0000008027","Fiction"
"0000008016","Health"
"0000008016","Nutrition"
"0000008022","Health"
"0000008032","Fiction"
"0000008033","Fiction"
"0000008035","Fiction"
"0000008041","Catholic church-encyclopedia"
"0000008042","Fiction"
"0000008043","Fiction"
"0000008044","Fiction"
"0000008045","Fiction"
"0000008037","Day care centers - United States - Administration"
"0000008037","Early childhood education - United States"
"0000008049","English Fiction"
"0000008050","Fiction"
"0000008051","English-Fiction"
"0000008052","English-Fiction"
"0000008053","Production economics"
"0000008054","English Fiction"
"0000008055","English fiction"
"0000008056","Mars (Planet)"
"0000008053","Hospitality management"
"0000008061","Philosophy, education"
"0000008058","Passion and death of Jesus"
"0000008059","Calculus"
"0000008062","Hemingway,ernest,1899-1960.old man and the sea"
"0000008062","(1.hemingway,ernest 1899-1960.old man and the sea."
"0000008062","2.American literature-history and criticism)"
"0000008087","Dickens,charles,1812-1870.tale of two cities"
"0000008087","(1.Dickens,charles 1812-1870,tale of two cities"
"0000008087","2.English literature-history & criticism)"
"0000008088","1.Shakespeare,william,1564-1616.julius caesar"
"0000008088","2.Caesar julius,in fiction,drama,poetry,etc."
"0000008088","(1.shakespeare,william,1564-1616.julius caesar"
"0000008088","2.English literature-history and criticism"
"0000008089","Bible-concordance"
"0000008090","fAITH & GRACE"
"0000008091","Spiritual life"
"0000008091","Religious life"
"0000008092","Bible-introduction of"
"0000008093","English language-rhetoric"
"0000008093","College readers"
"0000008095","Fiction"
"0000008097","Economics-dictionaries"
"0000008099","Phonetics & speech"
"0000008100","Sciences"
"0000008101","Fiction"
"0000008102","Fiction"
"0000008103","Fiction"
"0000008104","Fiction"
"0000008106","Fiction"
"0000008108","Fiction"
"0000008109","Fiction"
"0000008111","Philippine-luzon and adjacent island-Bul."
"0000008112","English language-terms & phrases--dictionaries"
"0000008112","English language-idioms-dictionaries"
"0000008112","Figures of speech--dictionaries"
"0000008112","(1.English language-idioms-dictionaries 2.Figures"
"0000008112","of speech-dictionaries)"
"0000008113","Fiction"
"0000008114","Fiction"
"0000008115","Fiction"
"0000008116","Fiction"
"0000008117","Fiction"
"0000008118","Hotels - Accounting"
"0000008119","Hotels - Accounting"
"0000008120","Fiction"
"0000008121","time almanac"
"0000008122","Fiction"
"0000008124","Fiction"
"0000008125","Fiction"
"0000008127","papers-fiction"
"0000008127","4.School-fiction 5.cheerleading-fiction 6.Sex"
"0000008127","role fiction)"
"0000008128","Fiction"
"0000008130","fICTION"
"0000008131","Fiction"
"0000008132","Auctions-fiction"
"0000008132","Internet-safety measures-fiction"
"0000008132","Journalism fiction"
"0000008132","Schools-fiction)"
"0000008133","Fiction"
"0000008134","Fiction"
"0000008118","Food service accounting"
"0000008135","Fiction"
"0000008118","Managerial accounting"
"0000008136","Fiction"
"0000008137","Fiction"
"0000008138","Classification,dewey decimal"
"0000008119","Food service accounting"
"0000008119","Management accounting"
"0000008140","Education - Research - Methodology"
"0000008140","Education -Research Evaluation"
"0000008140","Proposal writing in educational research"
"0000008141","Pharmaceutical arithmetic"
"0000008141","Nurses - Mathematics"
"0000008141","Drugs Administration and dosages"
"0000008141","Mathematics"
"0000008142","Medical health care"
"0000008143","Food service management"
"0000008143","Restaurant management"
"0000008144","Food service management"
"0000008144","Restaurant management"
"0000008145"," fiction"
"0000008146","Fiction"
"0000008147","Fiction"
"0000008148","Fiction"
"0000008149","Fiction"
"0000008150","Fiction"
"0000008151","Fiction"
"0000008152","Fiction"
"0000008153","Fiction"
"0000008154","Jewerly and accessories"
"0000008155","Vatican II-concilliar & post conciliar documents"
"0000008157","Computer communications"
"0000008158","Katekismo-Filipino catholic"
"0000008159","Saints (Biography)"
"0000008162","Saints-boy & girls"
"0000008163","Ecumenical councils of the roman catholic church"
"0000008165","Fiction"
"0000008167","Cheating-fiction"
"0000008167","Journalism-fiction"
"0000008166","Fiction"
"0000008167","school-fiction)"
"0000008168","Fiction"
"0000008169","childrens-book & reviews"
"0000008172","Volcanoes-Philippine"
"0000008173","Health specific age group"
"0000008174","Cookery, ASEAN"
"0000008175","Calculus"
"0000008176","Ecology"
"0000008177","Fiction"
"0000008178","Teaching good behaviour"
"0000008178","The tale of the giant turmp"
"0000008178","The dragon lanterns"
"0000008178","The land of toys"
"0000008178","a new coat of leaves"
"0000008178","The alligatons secret"
"0000008179","Historical geology"
"0000008179","Geology-Philippines"
"0000008181","Teen health 3"
"0000008182","Animal stories"
"0000008183","Abilities"
"0000008185","Hospitality industry - Management"
"0000008186","Hotel front desk personnel"
"0000008187","Grilling cooking"
"0000008189","Attitudes"
"0000008190","Relaxation"
"0000008184","Public speaking"
"0000008184","Debate"
"0000008191","thought & thinking"
"0000008192","success"
"0000008194","Moral theology"
"0000008195","Spiritual life"
"0000008196","sALVATION & GRACE"
"0000008197","Sensory perception,movement emotion"
"0000008197","physiological series"
"0000008186","etc"
"0000008186","Hotel management - Problems, exercises, etc."
"0000008198","Women-guides to christian life"
"0000008199","Motherhood"
"0000008200","Acts of the apostles"
"0000008201","Volition (will)"
"0000008203","Bible,N.T."
"0000008204","Educational technology-case studies"
"0000008204","Computer assisted instruction-case studies"
"0000008188","Tourism"
"0000008205","Teaching expertise"
"0000008207","Subject heading"
"0000008208","Curriculums-planning,design,construction"
"0000008209","Scientist"
"0000008209","Inventors"
"0000008210","Algebra"
"0000008211","Reading"
"0000008211","School management and organization"
"0000008211","School supervision"
"0000008212","Professional commitment"
"0000008213","Success"
"0000008215","Christian education"
"0000008215","Values"
"0000008216","Nutrition"
"0000008217","Cajun - Cooking"
"0000008218","Christian education"
"0000008218","values"
"0000008219","Fiction"
"0000008221","Philippines-politics and government"
"0000008221","Philippines-history"
"0000008222","Science"
"0000008222","health"
"0000008224","Science"
"0000008224","health"
"0000008226","Science"
"0000008226","Technology"
"0000008227","Physical education"
"0000008227","Health"
"0000008227","Music"
