"accessno","bibliogra"
"0000007379","Gil, Avelina J. Phoenix English Series 4. Manila : Phoenix English House, Inc., c1990."
"0000007380","Gil, Avelina J. Phoenix English Series 4. Manila : Phoenix Publishing House, c1990."
"0000007383","Gil, Avelina J. Adventures in English 4. Manila : Phoenix Publishing House, c1992."
"0000007385","Gil, Avelina J. Adventures in English 3. Manila : Phoenix Publishing House, Inc., c1992."
"0000007386","Flores, Magelende Magallona. Reading in English 6 : journey. Manila : Abiva Publishing House, c1979."
"0000007387","Dumaual, Rocio R. Learning English grade five. Manila : Vibal Publishing House, Inc., c1980."
"0000007388","Enriquez, Salud R. Pathways to English 4 : second language approach. Manila : Philippine Book Company, c1966."
"0000007389","Enriquez, Salud R. Voyages in English : builders for grade three. Manila : Philippine Book Company, c1973."
"0000007390","Laudon, Kenneth C. [et al.] Information technology: concepts and issues. 2nd Ed. ed. New York : Course Technology, c1997."
"0000007391","Mcleod, Raymond Jr. Management information systems. 7th ed. Singapore : Prentice-Hall, c2001."
"0000007392","Peter Aitken [et al.]. Trudi Reisner, Faithe wempen. Indianapolis, Indiana : Macmillan Computer, c1995."
"0000007394","Equia, Pacita R. Basics and beyond language 3. Manila : FNB Educational, Inc., c1991."
"0000007395","Calderon, Estela C. Progressive English : series book 3. Manila : JMC Press, Inc., c1975."
"0000007401","Constantino, Leticia Salazar. Read, learn and enjoy 2. Manila : Abiva Publishing House, Inc., c1987."
"0000007403","Keene, Karolyn. Heart of ice. New York : An Archway Paperback, c1995."
"0000007404","Biteng, Oralla P. Science and Health 3. Manila : Rex Book Store, c1993."
"0000007405","Nicadao, Ruth Merilyn N. [et al.] Excel for windows. Quezon City : Book Craft Craft, c1996."
"0000007406","Nicdao, Ruth Merilyn N. [et al.] Introduction  to windows. Quezon City : Book Craft, c1996."
"0000007407","Nicdao, Ruth Merilyn N. [et al.] Word for Windows. East Fairview Quezon City : Book Craft, c1996."
"0000007408","Norton, Peter. Peter Norton's  Complete Guide to DOS 6.22. Indianapolis, Indiana : Sam, c1994."
"0000007409","O'brien, Stephen [et al.]. Turbo Pascal7: the complete references. Berksley Osborne : Mc Graw-Hill, c1993."
"0000007410","None. My first book of animals from A to Z. New York : Scholastic Inc., c1994."
"0000007411","Gil, Avelina J. New reading for learning and living series 5. Manila : Phoenix Publishing House, Inc., c1983."
"0000007412","Theodorou, Rod. Heavy and light (Animal Opposites Series ). Oxford : Heinemann, c1996."
"0000007413","[et al.]. Pio del Pilar & Other Heroes. Quezon City : New Day, c1997."
"0000007414","Theodorou, Rod. Hard and Soft- (animal opposites series). Oxford : Heinemann Publishers Ltd., c1996."
"0000007415","Parson, June Jamrich [et al.]. New Perspective on Computer Concepts. 4th ed. Australia : Thomson Learning, c2000."
"0000007416","Theodorou, Rod. Short and Tall (Animal Opposites Series). Oxford : Heinemann Publishers Ltd., c1996."
"0000007417","[et al.]. Treasures of the Philippine National Musseum. Makati City : Bookmark, c1995."
"0000007418","[et al.]. Que's Computer & Internet Dictionary. 6th ed. Manila : Global, c1995."
"0000007419","Quartermain, James. The Diamond Hook. New York : Double Day & Company, c1970."
"0000007421","Walizer, Michael H. Research method and analysis. New York : Harper and Row, Publisher, c1978."
"0000007422","Theodorou, Rod. Fast and Slow (Animal Opposites Series). Oxford : Heinemann Publishers, c1996."
"0000007423","Pascua, Leonarda B. Mathematics 4 : concepts and operations. Makati City : Diwa Learning Systems, Inc, c2000."
"0000007424","Thodorou, Rod. Snakes and Lizard _ (spot the difference). Oxford : Heinemann Library, c1996."
"0000007425","Theodorou, Rod. Big and Small- (Animal Opposite Series). Oxford : Heinemann Publishers Ltd., c1996."
"0000007426","Whitney, Norman [et al.]. The sky's the limit. Oxford : Heinemann, c1992."
"0000007427","Whitney, Norman. The Stranger. Oxford : Heinemann, c1992."
"0000007428","Whitney, Norman. Sara Says No!. Oxford : Heinemann, c1992."
"0000007429","Whitney, Norman. Paradise Island. Oxford : Heinemann, c1993."
"0000007430","Webb, Mary. Precious bane. Oxford : Heinemann, c1992."
"0000007431","Tarner, Margaret [et al.]. . Oxford : Heinemann, c1995."
"0000007432","Steinback, John. The Red Pony. Oxford : Heinemann, c1992."
"0000007433","Stevenson Louis, Robert. Dr Jekyll and Mr Hyde. Oxford : Heinemann, c1995."
"0000007434","Sperry, Armstrong. The boy who was afraid. Oxford : Heinemann, c1992."
"0000007435","Shute, Nevil. A Town Like Alice. Oxford : Heinemann, c1996."
"0000007436","Shernan, D. R. [et al.] Old Mali and the Boy. Oxford : Heinemann, c1992."
"0000007437","Salazar, Evelyn [et al.]. Phoenix English Series 6. Manila : Phoenix Publishing House, Inc, c1990."
"0000007438","Tarner, Margaret. This is Cambridge. Oxford : Heinemann, c1995."
"0000007439","Salandanan, Gloria G. Science through inquiry : grade 5 textbook. Manila : Phoenix Publishing House, c1979."
"0000007440","Salandanan, Gloria G. The exciting world of science : grade 4 textbook. Manila : Phoenix Publishing House, c1979."
"0000007441","Romero, Angelita D. Science and Health : textbook in science and health for grade four. Manila : Rex Book Store, c1993."
"0000007442","Rodriguez, Wilhelmina Paras [et al.]. My English book for daily use: grade six. Manila : Bookmark Inc., c1978."
"0000007443","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade five. Manila : Bookmark INc, c1978."
"0000007444","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade six. Manila : Bookmark, Inc., c1978."
"0000007445","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade five. Manila : Bookmark, Inc., c1968."
"0000007447","Prowse, Philip. L.A. Detective. Oxford : Heinemann, c1993."
"0000007448","Laird, Elizabeth. Sugar and Candy. Oxford : Heinemann, c1992."
"0000007449","Asin, Ricardo C. Poems,speeches and declamations. Parada, Valenzuela City : Tru-Copy Publications, c2000."
"0000007450","Seeds, Michael A. Foundations of Astronomy. Belmont, California : Wadsworth Publishing Co.,, c1986."
"0000007451","Ross, Stewart. The Russian revolution (Witness history). Wayland : England, c1988."
"0000007455","Powell, Thomas A. HTML : the complete reference. 3rd ed. Osborne : McGraw-Hill, c2001."
"0000007456","Andres, Tomas D. Management by humor. Philippines : Our Lady of Manaoag Publishers, c1990."
"0000007457","[et al.]. The Presentation design book.... 2nd ed. Ventana Press, Inc. : Chapel Hil, NC, c1993."
"0000007458","Reyes, Severino [et al.]. The best of Lola Basyang.... Tahanan : Makati, Metro Manila, c1997."
"0000007459","Roberts, Eric S. The art & science of C : a library-based introduction to computer science. Addison-wesley : Menlo Park, California, c1995."
"0000007462","Ross, Stewart [et al.]. China since 1945.-(Witness history). Wayland : England, c1988."
"0000007464","Rodriguez, Wilhenmina Paras. My English Book For Daily Use : grade 5. Manila : Bookmark, Inc., c1968."
"0000007465","Folk, Jeannie M. [et al.] Introduction to managerial Accounting. New York : McGraw-Hill, c2002."
"0000007466","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade two. Manila : Bookmark, Inc., c1978."
"0000007467","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade two. Manila : Bookmark, Inc., c1978."
"0000007468","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade one. Manila : Bookmark, Inc., c1978."
"0000007469","Rodriguez, Wilhelmina P. My English Book For Daily Use : grade one. Manila : Bookmark, Inc., c1978."
"0000007470","Resuma, Vilma M. Progressive English : series book 5. Manila : JMC Press, Inc., c1975."
"0000007471","Prowse, Philip [et al.]. This is London. Oxford : Heinemann, c1992."
"0000007472","Thiong' O Wa, Ngugi. Weep Not, Child. Oxford : Heinemann, c1992."
"0000007473","None. The Family handyman helpful hints : quick and easy solutions, timesaving tips, tricks of the trade. New York : The Readers Digest Ass., Inc., c1995."
"0000007474","Forlini, Gary. Prentice Hall Grammar and Composition grade 10. New Jersey : Prentice Hall, c1990."
"0000007475","None. Life sixty years : a 60th anniversary. New York : Life Books Time Inc., c1996."
"0000007476","Mcginnis, Allan Loy. The balanced life : achieving success in work and love. [s.n.] : Kadena Books, c1997."
"0000007477","None. Mentors, masters, and Mrs. McGregor. Florida : Health Communications, Inc., c1995."
"0000007478","Ortigas, Carmela. The solo-parent experience : a growing social phenomenon. Quezon City : Office of Research and Publications, c1996."
"0000007479","None. Prentice Hall Exploring Earth Science. New Jersey : Prentice Hall, c1999."
"0000007480","None. Prentice Hall Exploring Life Science. New Jersey : Prentice Hall, c1999."
"0000007482","Townsend, Patrick L. Five-star leadership : the art and strategy of creating leaders at every level. New York : John Wiley and Sons, Inc., c1997."
"0000007483","Mckeachie, Wilbert J. Teaching tips : strategies, research, and theory for college and university teachers. 10th ed. New York : Houghton Mifflin Co.,, c1999."
"0000007484","Stewart, Molly Mia. Elizabeth's houseback adventure. New York : Bantam Books, c1996."
"0000007485","Stewart, Molly Mia. Elizabeth hatcheson egg. New York : Bantam Books, c1996."
"0000007486","Rowling, J.k. Harry Potter and the prisoner of Azkaban. Volume 3. Usa : Scholastic Press, c1999."
"0000007487","Stevenson, Robert Louis [et al.]. Treasure Island. Oxford : Reed Educ'l and Professional Pub., c1993."
"0000007488","Stewart, Molly Mia. Scaredy Cat Elizabeth. New York : Bantam Books, c1995."
"0000007489","Stewart, Molly Mia. A roller coaster for the twins. New York : Bantam Books, c1996."
"0000007490","Hewitt, Paul G. Conceptual Physics. 9th ed. San Francisco : Addison Wesley, c2002."
"0000007491","Lambert, Linda [et al.]. Building Leadership Capacity in Schools. Virginia : ASCD, c1998."
"0000007492","Giancoli, Douglas C. [et al.] Physics for scientists and engineers. Upper Saddle River, N.j : Prentice Hall, c2000."
"0000007493","Strauss, Eric [et al.]. Biolog : the web of life. 2nd ed. Singapore : Pearson Education, c2000."
"0000007494",". Basic Concepts in biology. 5th ed. Australia : Brooks/ Cole, c2003."
"0000007495","Rogacion, Rosanna C. [et al.] Great Kids a retelling of stories about Filipino heroes when were Children. Elysian Publications : Makati Metro Manila, c1993."
"0000007496","Cooke, Daniel. A concise introduction to computer languages: design, experimentation, and paradigms. 1st ed. Australia : Thomson Brooks/Cole, c2003."
"0000007498","Rogacion , Rosanna C. [et al.] Great Kids a retelling of stories about Filipino heroes when they were children. Elysian : Makati Metro Manila, c1993."
"0000007499","Ford, William [et al.]. Data structures with C++ using STL. New Jersey : Prentice Hall, c2001."
"0000007500","None. Food production : integrated mathematics, science, and technology. Nwe York : McGraw-Hill, c1998."
"0000007501","Andres, Tomas. Human Resource Training and Development. Quezon City : New Day Publishers, c1980."
"0000007502","Porras, Jerry L. Stream analysis. California : Wesley Publishing Co., c1987."
"0000007503","Pedrosa, Carmen Navarro. The rise and fall of Imelda Marcos. Manila : Bookmark, c1987."
"0000007504","Pedrosa, Carmen Navarro. The rise and fall of Imelda Marcos. Manila : Bookmark, c1987."
"0000007505","Andres, Tomas D. Parenting By Filipino Values. Pasay City : Saint Paul Publications, c1989."
"0000007506","Santiago, Alfonso O. Makabagong Balarilang Filipino. Manila : Rex Book Store, c1991."
"0000007507","None. Ang bagong tipan at mga awit : halaw sa magandang balita Biblia. Manila : Philippine Bible Society, c1984."
"0000007508","Villamir, Araceli M. New reading for learning and living series 3. Manila : Phoenix Publishing House, Inc., c1983."
"0000007509","Villamir, Araceli M. Phoenix English Series 3. Manila : Phoenix Publishing House, Inc., c1990."
"0000007510","Santiago, Aurea Jimenez. Ang batang si Jose Rizal ikalawang baitang. Manila : Ariba Publishing House, c1967."
"0000007511","Prescott, Richard. Ring of thieves. Oxford : Heinemann Publishers ltd., c1995."
"0000007512","Prescott, Richard. The Bonetti Inheritance. Oxford : Heinemann, c1993."
"0000007513","Paloyapoy, Elisa D. Adventures in english 1. Manila : Phoenix Publishing House, Inc., c1992."
"0000007514","Pinga, Estela M.a. Learning english grade 6. Manila : Vibal Publishing House, Inc., c1967."
"0000007515","Pineda, Osmunda. Basics and beyond communiction arts series : reading. Manila : FNB Educational, Inc., c1984."
"0000007516","Pineda, Osmunda L. Basics and beyond reading 3. Manila : FNB Educational, Inc., c1991."
"0000007517","Pennink, Betsy [et al.]. This is New York. Oxford : Heinemann, c1992."
"0000007518","Palma, Leonida C. Language for learning and living series 2. Manila : Phoenix Publishing House, Inc., c1982."
"0000007519","Palma, Leonida. Communication arts for th new Filipinos 2. Manila : Rex Book Store, c1981."
"0000007520","Pado, Felicitas E. Discovering our world through reading. Manila : ICS Publishing House, c1987."
"0000007521","Pado, Felicitas E. Beginning our world through reading. Manila : ICS Publishing House, c1987."
"0000007522","Naguit, Lope Jr. Facets : level two. Manila : Vicente Publishing House, c1988."
"0000007523","Maugham, Somerset W. The escape and other stories. Oxford : Heinemann, c1992."
"0000007524","Maurier Du, Daphne. My Cousin Rachel. Oxford : Heinemann, c1992."
"0000007525","Maurier Du, Daphne. Rebecca. Oxford : Heinemann, c1992."
"0000007526","Milne, John. The Magic Barber. Oxford : Heinemann, c1992."
"0000007527","Milne, John. The black cat. Oxford : Heinemann, c1992."
"0000007528","Laird, Elizabeth. The Garden. Oxford : Heinemann, c1992."
"0000007529","Khoo, Catherine. Love conquers death and other stories. Oxford : Heinmemann, c1996."
"0000007530","Laird, Elizabeth. Anna and fighter. Oxford : Heinemann, c1992."
"0000007531","Laird, Elizabeth. The House on the Hill. Oxford : Heinemann, c1992."
"0000007532","Matthews, Geoffrey. The Space Invaders. Oxford : Heinemann, c1992."
"0000007533","Mcgovern, Kieran. Love by Design. Oxford : Heinemann, c1994."
"0000007534","Mciver, Nick [et al.]. Dear Jun... Love Ruth. Oxford : Heinemann, c1992."
"0000007535","Moore, C.t. Alissa. Oxford : Heinemann, c1992."
"0000007536",
"0000007537","Lonier, Terri. Smart Strategies for growing your business. New Yoork : John Wiley and Sons, Inc., c1999."
"0000007538","Blake, Robert Rogers. Change by design. California : Wesley Publishing Co., c1989."
"0000007539","Tomas, Andres D. Team building and creating effective work systems. Quezon City : New Day Publishers, c1992."
"0000007540","None. Handbook for creative and innovative managers. New York : McGrow-Hill Book Co., c1988."
"0000007541","Bailey, Kenneth D. Methods of social research. New York : The Free Press, c1987."
"0000007542","Best, John W. [et al.] Research in education. New Jersey : Prentice Hall, Inc., c1981."
"0000007543","Henson, Ronald M. Communicating reseacrh : a guide in communication research. Manila : Bookstore Publishing Corporation, c1999."
"0000007544","Odum, Eugene P. Fundamentals of ecology. Philadelphia : W.B. Saunders, c1971."
"0000007545","Seeley, Rod R. Essentials of anatomy and physiology. St.louis : Mosby, c1996."
"0000007546","None. The Philippine Atlas. Manila : Philippines Guides, c1998."
"0000007547","None. The illustrated dictionary of inventors and inventions. United Kingdom : Merlion Publishing, c1993."
"0000007548","None. The illustrated dictionary of prehistoric life. United Kingdom : Merlion Publishing, c1993."
"0000007549","None. The illustrated dictionary of oceanography. United Kingdom : Merlion Publishing, c1993."
"0000007550","Foster, Karen. Making music. United Kingdom : Merlion Publishing, c1992."
"0000007551","Sta.maria, Felice Prudente. Vision of the possible : legacies of the Philippine freedom. [s.n.] : Studio 5 Publishing, c1998."
"0000007552","Peppin, Anthea. Looking at art. United Kingdom : Merlion Publishing, c1991."
"0000007553","None. On stage. United Kingdom : Merlion Publishing, c1993."
"0000007554","None. Medieval english poetry. New York : Longman Group, c1993."
"0000007555","Quirino, Carlos. Who's who in Philippine history. Makati City : Tahanan Books, c1995."
"0000007556","Galdon, Joseph A., S.j. The mustard seed : reflections for daily living. Quezon City : MaryKnoll College Class, c1991."
"0000007557","Conconan, Neil. English poetry since 1940. New York : Longman Group, c1993."
"0000007558","Bath, Michael. Speaking pictures : English emblem books and renaissance culture. New York : Longman Group, c1993."
"0000007559","Hardy, Thomas. Poems Selection. New York : Longman Group, c1993."
"0000007560","None [et al.]. Psychoanalytic literary criticism. New York : Longman Group, c1994."
"0000007561","Hairston, Maxine. The Scott, Foresman handbook for writers. New York : Harper Collins, c1993."
"0000007562","Ramsey, William L. [et al.] Modern Earth Science. New York : Holt, Rinehart and Winston, c1966."
"0000007563","Racinet, A. The historical encyclopedia of costume. New York : Facts on File, c1998."
"0000007564","Dworetzky, John. Introduction to child development. New York : West Publishing, c1993."
"0000007565","Gupta, Vijaya. Children's literature and reading habit. New Delhi : Deep and Deep Publications, c1997."
"0000007566","Otto, James H. Modern Biology. New York : Holt Rinehart and Winston, c1985."
"0000007567","Carmona, Demetrio M., Sdb. Compu-mp : menu programming 5. Makati City : Salesiana Publishers, c1997."
"0000007568","None. Reader's Digest Family World Finder : a new thesaurus of synonyms and antonyms in dictionary form. New York : Te Readers Digest Association, c1975."
"0000007569","Meadows, Jack. The Worlds great minds. Spain : Chancellor Press, c1987."
"0000007570","None. The illustrated dictionary of machine. United Kingdom : Merlion Publishing, c1993."
"0000007571","None. The right word at the right time : a guide to the english language and how to use it. New York : The Readers Digest Association, c1985."
"0000007572","Armstrong, Thomas. Awakening genius in the classroom. Virginia : ASCD, c1998."
"0000007573","None. The Hamlyn cookbook : 250 imaginative recipes, from basic soups to elegant desserts. Hongkong : Reed International Books, c1995."
"0000007574","Yenne, Bill. 100 events that shaped world history. Singapore : Bluewoods Books, c1993."
"0000007575","Yenne, Bill. 100 men who shaped world history. Singapore : Bluewoods Books, c1994."
"0000007576","Rolka, Gail Meyer. 100 women who shaped world history. Singapore : Bluewood Books, c1994."
"0000007577","Beckner, Chrisanne. 100 great cities of world history. Singapore : Bluewood Books, c1995."
"0000007578","Yenne, Bill. 100 natural wonders of the world. Singapore : Bluewood Books, c1995."
"0000007579","Yenne, Bill. 100 inventions that shaped world history. Singapore : Bluewood Books, c1993."
"0000007580","Krall, Sarah. 100 folk heroes who shaped world history. Singapore : Bluewood Books, c1995."
"0000007581","None. Worlds of crafts. United Kingdom : Merlion Publishing, c1993."
"0000007582","Madaan, Anil. Dreamland's the illustrated computer dictionary. India : Dreamland Publication, c1998."
"0000007583","None. Reader's Digest Book of Facts. New York : Readers Digest Association, c1994."
"0000007584","None. Light in the east : AD 1000-1100. Amsterdam : Time-life Books, Inc., c1989."
"0000007585","None. Better to light one candle : the Christopher's three minutes a day. Quezon City : Clanetian Publications, c1999."
"0000007586","Cabading, Lourdes A. Science and Technology II : Biology. Quezon City : FNB Educational Inc., c1996."
"0000007587","Wild, Ray. How to manage. Oxford : Butterworth-Heinemann, c1982."
"0000007588","Colla, Luc  Cicm. The amazing story of Jesus of Nazareth. Baguio City : PRDSLU, c1984."
"0000007589","Colla, Luc  Cicm. The love story of God and his people : religion and values education. Baguio City : PRDSLU, c1984."
"0000007590","Villaflores, Nieves S. Science, technology and life. Sta..cruz, Manila : Saint Mary'S Publishing, c1989."
"0000007591","None. Science and technology today 2 : biology. Quezon City : Abiva Publishing House, c1989."
"0000007592","Santos, Gil Nonato C. Chemistry for high school III. Manila : Rex Book Store, c1999."
"0000007593","Rotor, A. B. The men who play God : a collection orf ten stories. Quwezon City : Ateneo de Manila University Press, c1983."
"0000007594","None. Prentice Hall Exploring Physical Science. New Jersey : Prentice Hall, Inc., c1999."
"0000007595","Miller, Kenneth R. Biology. New Jersey : Prentice Hall, c1998."
"0000007596","Mendoza, Estrella E. Science and technology III. Quezon City : Phoenix Publishing House, c1995."
"0000007597","Mcfarland, Dora. Introduction to modern mathematics for elementary teachers. Manila : Asian Education Center, c1966."
"0000007598","Lumabas, Rogelio S. Plane trigonometry. Quezon City : Phoenix Publishing House, c1993."
"0000007599","Lemay, H. Eugene Jr. Prentice Hall Chemistry : connections to our changing world. New Jersey : Prentice Hall, c2000."
"0000007600","Hildebrand, Verna. Introduction to early childhood education. New Jersey : Prentice Hall, Inc., c1997."
"0000007601","Clemens,stanley R. Geometry. New York : Addison-Wesley Publishing Co., c1994."
"0000007602","Winter, Gibson. Community and spiritual transformation : religion and politics in a communal age. New York : Crossroad, c1989."
"0000007603","Roche, Joseph L., Sj. A companion to CFC vol 1 : a collection of essays on the history, features and use of our national Catechism. Manila : WORD and Life Publication, c1998."
"0000007604","Shakespeare, William [et al.]. The Menchant of Venice. Washington Square Press : New York, c1992."
"0000007605","Shakespeare, William [et al.]. The Tragedy of Macbeth. Washington Square Press : New York, c1992."
"0000007606","Shakespeare, William. The  Tragedy of Romeo and Juliet. Washington : New York, c1992."
"0000007607","Silberschatz, Abraham [et al.]. Operating System Concepts. Wesley : Massachusetts Addison, c1998."
"0000007608","Sethi, Ravi. Programming languages: & Constructs. 2nd ed. Addison-wesley : Menlo Park, c1996."
"0000007609","Slater, Lisac. [et al.] Using Fox Pro 2.6 for Windows. Jemma : Cainta, Rizal Phil., c1994."
"0000007611","Stallings , William. Computer Organization and Architecture: designing for perfprmance. 5th ed. Prentice-hall International : New Jersey, c2000."
"0000007612","Swartzfager, Gene. Visual Basic 5 Object Oriented Programming. Scottsdale,az : S, c1997."
"0000007613","Sebesta, Robert W. Concepts of Programming languages. 4th ed. Addison-wesley : Harlow, England, c1999."
"0000007614","Sebesta, Robert W. Concepts of Programming languages. 3rd ed. Addison-wesley : Menlo Park California, c1996."
"0000007616","Mendiola, Cecilia. Phoenix English Series 2. Manila : Phoenix Publishing House, c1990."
"0000007617","Mendoza, Elizabeth S. Phoenix English Series 5. Manila : Phoenix Publishing House, c1990."
"0000007618","None. Language 2 : skills and use. Manila : Academic Publishing House, c1987."
"0000007619","Lazatin, Josephine F. Progressive English : Series book 4. Manila : JMC Press, Inc., c1975."
"0000007620","Logue, Concordia C. New Pathways to reading skills 4. Manila : Golden Publishing House, c1988."
"0000007621","Maminta, Rosario E. Learning to use English in grade 3. Manila : Abiva Publishing House, c1979."
"0000007626","Maminta, Rosario E. Learning to use english in grade 4. Manila : Abiva Publishing House, Inc., c1979."
"0000007627","Maminta, Rosario E. Reading in english 5 : adventures. Manila : Abiva Publishing House, Inc., c1979."
"0000007628","Marzo, May G. Language for learning and living series 5. Manila : Phoenix Publishing House, Inc., c1982."
"0000007629","Mendoza, Elena A. Progressive english : series book 6. Manila : JMC Press, Inc., c1975."
"0000007630","Villaflores, Nieves S. [et al.] Integrated english 4 : fundamentals of english grammar. Manila : Saint Mary's Publishing, c1978."
"0000007633","Sandler, Corey. Fix your on PC. 3rd ed. Mis Press : New York, c1996."
"0000007634","Sanford, Clive C. Exploring the internet. [s.n.] : Chicago, cTrwin."
"0000007636","Villaflores, Nieves S. Integrated english 4 : fundamentals of english grammar. Manila : Saint Mary's Publishing, c1978."
"0000007637","Milaflores, Nicol. Communication arts for the new Filipinos 5. Manila : Rex Book Store, c1985."
"0000007638","Minez, Annie R. Exploring our world through english 5. Manila : Rex Book Store, c1974."
"0000007639","Menez, Annie R. My language book : grade one. Manila : Rex Book Store, c1974."
"0000007640","Morano, Perla B. Adventures in reading 4. Manila : Augustine Publication, Inc., c1994."
"0000007641","Vicencio, Evelina M. Effective communication 2. Manila : ICS Publishing House, c1989."
"0000007642","Bass, Laurie E. Geometry : tools for a changing world. New Jersey : Prentice Hall, c1998."
"0000007643","Polotan, Kerima. Imelda Romualdez Marcos : a biography of the first Lady of the Philippines. Manila : World Publishing Company, c1970."
"0000007644","Abdelnoor, R. E. Jason. Silver burdett mathematical dictionary. New Jersey : Silver Burdett Press, c1987."
"0000007645","Barron, Marlene. Ready, set, read and write. New York : John Wiley and Sons, c1995."
"0000007646","Barron, Marlene. Ready, set, count. New York : John Wiley and Sons, c1995."
"0000007648","Barron, Marlene. Ready, set, explore. New York : John Wiley and Sons, c1996."
"0000007649","Barron, Marlene. Ready, set, cooperate. New York : John Wiley and Sons, c1996."
"0000007650","Kolman, Bernard. Introductory linear algebra with applications. New York : Macmillan Publishing Company, c1976."
"0000007651","Kee, Howard Clark [et al.]. Understanding the New Testament. Quezon City : Claretian Publications, c1983."
"0000007652","Peters, Thomas J. A passion for excellence. New York : Random House, c1985."
"0000007653","None. Celebrate the sacraments of Eucharist and Penance- Reconciliation. Quezon City : Mother of Life Center, c1995."
"0000007654","None. A child is born to us! : celebrating the Sacrament of Baptism. Quezon City : Mother of Life Center, c1994."
"0000007655","Sharma, B. M. Classroom administration. [s.n.] : Commonwealth Publishers, c1997."
"0000007656","None. Modern methods of teaching. [s.n.] : Anmol Publications PVT, c1997."
"0000007657","Wiggins, Grant P. Understanding by design. Virginia, Usa : ASCD, c1998."
"0000007658","Nicdao, Ruth Merilyn N. [et al.] Word for Windows. Quezon City : Book Craft Publishing Company, c1996."
"0000007659","Williams, Al. Windows 2000 systems programming black book. Scottsdale, Arizona : Coriolis, c2000."
"0000007660","Haycock, Kate. Plays. England : Wayland, c1990."
"0000007661","Hanna, David P. Designing organization for high performance. Menlo Park, California : Addisson Wesley Publishing Co.,, c1988."
"0000007662","None. Francis of Assisi : the man who gave up everything to follow Jesus. [s.n.] : Scandinavia Publishing House, c1997."
"0000007663","None. Mother Teresa : the woman who served the pourest of the poor. [s.n.] : Scandinavia Publishing House, c1996."
"0000007664","Jensen, Eric. Teaching with the brain in mind. Virginia, Usa : ASCD, c1998."
"0000007666","Torralba, Antonio N. The joys of teaching, be a teacher...a great teacher!. Makati City : Rex Commercial, c1998."
"0000007667","Savitch, Walter J. Problem Solving with C++: the object of programming. Addison-wesley : Menlo Park, California, c1995."
"0000007668","Savitch, Walter J. Turbo Pascal,an introduction to the art and science of programming. 4th ed. The Benjamin/cummings : Redwood City,CA, c1993."
"0000007675","Rivadelo, Rosita F. Fundamentals of music. [s.n.] : National Book Store, c1986."
"0000007676","None. Commentary on the Catechism of the Catholic Church. London : Geoffrey Chapman, c1994."
"0000007677","Parsons, Stephen [et al.]. Searching for healing : making sense of the many paths to wholeness. England : Lion Publishing, c1995."
"0000007678","Jasmne, Julia [et al.]. Conflict resolution, grade K-4. Usa : Teacher Created Materials, c1997."
"0000007688","Ryan, Concetta D. Teaching basic skills through literature. Usa : Teachers Created Materilals, c1995."
"0000007689","Grisham, Dana L. Cooperative learning. Usa : Teacher Created Materials, c1995."
"0000007690","None. Gospel parallels : a synopsis of the first three gospels :with alternative reacting from the manuscripts.... Manila : Daughters of St.Paul, c1992."
"0000007691","Scanlon, Leo J. 8086/8088/80286 Assembly language/Leo J. Scanlon. Forefront Book : Quezon City, c1980."
"0000007693","Shakespeare, William. The tradedy of Hamlet, Prince of Denmark. Washington Square : New York, c1992."
"0000007694","Schwartz, Richard. Web sirte construction: tips & tricks. Onword : Australia, c2001."
"0000007695","Dodd, Christine. Making  scripture work. Minnesota : The Liturgical Press, c1989."
"0000007696","Shelly, Gary B. [et al.] QBasic:An introduction to programming. Boyd & Fraser : Cambridge, c1997."
"0000007697","Shelly, Gary B. [et al.] Complete Computer Concepts. South-western : Massachusetts, c1997."
"0000007698","Somerset Fry, Fiona. A Soldier in Wellington's army. Wayland : England, c1987."
"0000007699","Styevenson, Robert Louis. The Strange  case of Dr. Jekyll and Mr. Hyde and the beach of Falesa. Would International : Manchester, c1991."
"0000007702","Haye, Leo. Adverb and modality in English. London : Addison Wesley Longman, c1997."
"0000007705","Lial, Margaret L. Trigonometry. England : Addison Wesley, c1996."
"0000007706","Clark, Colin. Learning words. England : Peter Paddeck Ltd., c19?."
"0000007707","Hurst,  Brother Hugo L. ,cfx. Teaching guide for a Search for Meaning in love,sex and marriage. St. Mary's College : Winona, Miimesata, c1970."
"0000007709","Harina, Ricardo M. Computerizd Accounting (Lotus 123 advanced Hands-on Macro Programming..... Philippines:academic : Mandaluyong City, c1997."
"0000007710","Henry, D.p. Medieval Logic and Metaphysics a Modern Introduction. Hutchinson University Library : London, c19972."
"0000007711","Herbert, Frank [et al.]. Children of Dune. Berkley : New York, c1976."
"0000007712","Hardy, Richard P. [et al.] Streams in the wasteland : some explorations in scripture. Pasay City : Saint Paul Publications, c1984."
"0000007713","Zablan, Emma S. Science and health grade 5. Quezon City : Phoenix Publishing House, c1996."
"0000007714","Hinnebusch, Paul. Friendship in the lord. Ave Maria : Indiana, c1974."
"0000007715","Hendrick, Herman. The Gospels and acts in outline : for Bible study groups. Pasay City : Saint Paul Publications, c1965."
